Objectif;Conditions ;Sous condition;Sous condition 2;Commentaire
Atteint;Pas de plot d’écart;Sans marche ;aucune;Course réussie ! Bravo !
;Pas de plot d’écart;Avec marche;Aucune;Analyse de la course : Très bien ! Tu as validé ton objectif de course mais attention tu as marché.   Conseil : Cours un peu moins vite pour mieux gérer ton allure de course et ne pas avoir à t’arrêter. 
Non Atteint ;De 1, 2 ou 3 plots ;Sans marche ;Aucune;Analyse de la course : Tu n’as pas validé ton objectif de course. Conseil : Cours un peu plus vite. Prends des repères pendant la course pour savoir où tu en es dans ton projet et si tu dois accélérer ou ralentir pendant la course. 
;De 1, 2 ou 3 plots ;Avec marche;1 ou 2 fois et/ou - de 15 secondes;Analyse de la course : Tu n’as pas réussi l’objectif de la course. Conseil : Essaye de récupérer en ralentissant ta vitesse de course mais sans t’arrêter. Tu pourra récupérer et te rapprocher de ton objectif.  Essaye de courir avec plus de régularité (exemple : éviter de courir vite, puis t’arrêter pour ensuite repartir vite). 
;;;Plus de 2 fois et/ou plus de 15s ;Analyse de la course : Tu n’as pas atteint l’objectif.   Conseil : Change de projet, réduit l’intensité de ta course. Ne relâche pas tes efforts. 
;De 4 plots ou plus. ;Sans marche ;Aucune;Analyse de la course : Tu es loin de ton projet de course ! Conseil : Change ton projet, réduit l’intensité choisie, elle est trop élevée pour toi. 
;De 4 plots ou plus. ;Avec marche;1 ou 2 fois et/ou - de 15 secondes;Analyse de la course : Tu es loin de ton projet de course ! Conseil : Ne relâche pas tes efforts. Soit tu augmente ta vitesse de course si tu le peux, soit tu change de projet (intensité). 
;;;Plus de 2 fois et/ou plus de 15s ;Analyse de la course : Tu es loin de ton projet de course ! Conseil : Augmente tes efforts. Si le projet est trop difficile, change de stratégie et choisis une intensité moins élevée. 
Dépassé;De 1, 2 ou 3 plots ;Sans marche ;Aucune;Analyse de la course : Très bien tu as atteint ton objectif ! Mais attention, l’objectif est d’atteindre l’objectif sans le dépassé. Conseil : Réduit ton allure sur la course ou change de projet (augmente le).
;De 1, 2 ou 3 plots ;Avec marche;1 ou 2 fois et/ou - de 15 secondes;Analyse de la course : Très bien tu as atteint ton objectif, et en marchant parfois en plus ! Cela signifie que ton intensité n’est pas la bonne.  Conseil : Change ton projet, augmente l’intensité. 
;;;Plus de 2 fois et/ou plus de 15s ;Analyse de la course : Tu as dépassé ton projet et en marchant souvent. C’était trop facile ? Conseil : Change ton projet, augmente l’intensité et vérifie bien la distance que tu parcours. 
;De 4 plots ou plus. ;Sans marche ;Aucune;Analyse de la course : Tu as dépassé de beaucoup de projet ! Tu as bien couru mais l’objectif est de ne pas dépassé.  Conseil : Change ton projet, augmente l’intensité, elle est surement trop faible. 
;De 4 plots ou plus. ;Avec marche;1 ou 2 fois et/ou - de 15 secondes;Analyse de la course : Tu as dépassé ton projet et en marchant souvent ? 🤔 L’observateur a t-il observé correctement ? Conseil : Change ton projet, augmente l’intensité et vérifie bien la distance que tu parcours. 
;;;Plus de 2 fois et/ou plus de 15s ;Analyse de la course : Tu as dépassé ton projet et en marchant souvent ? 🤔 L’observateur a t-il observé correctement ? Conseil : Change ton projet, augmente l’intensité et vérifie bien la distance que tu parcours. 
